combination,accuracy
"('Month', 'Weekday', 'Day', 'img_count', 'link_count', 'channel')","[0.5390323203528985, 0.00427706101487064]"
"('Month', 'Weekday', 'Day', 'Hour', 'img_count')","[0.5389710278435119, 0.006236962265124569]"
"('Month', 'Weekday', 'Year', 'Day', 'link_count', 'channel')","[0.5388088180432102, 0.005247328017700159]"
"('Month', 'author', 'channel')","[0.5388015285398637, 0.006521009014093978]"
"('Month', 'Hour', 'img_count', 'link_count', 'author')","[0.5387974685274698, 0.007800378987378144]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'author', 'channel')","[0.538782266843763, 0.008982645875429785]"
"('Month', 'Weekday', 'Year', 'content_len', 'title_bit_count', 'channel')","[0.538775326979329, 0.00493903404330343]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_word_count', 'author')","[0.53874152334604, 0.007054611038985652]"
"('Month', 'Hour', 'content_len', 'author', 'channel')","[0.5387217355947439, 0.009962620659643541]"
"('Month', 'Weekday', 'Day', 'Hour', 'content_len', 'title_word_count')","[0.5387108328659045, 0.00746510880799213]"
"('Month', 'Weekday', 'Hour', 'title_bit_count', 'author')","[0.5386783838604751, 0.007964378566236502]"
"('Month', 'Weekday', 'Day', 'title_word_count', 'title_bit_count', 'channel')","[0.5386772141206483, 0.004276720491153342]"
"('Month', 'Year', 'Day', 'title_bit_count', 'author', 'channel')","[0.53861991597121, 0.005209929449708433]"
"('Month', 'Weekday', 'Day', 'link_count', 'title_word_count', 'title_bit_count')","[0.5386020027877997, 0.01031801557068355]"
"('Month', 'Year', 'Day', 'Hour', 'link_count', 'author')","[0.5386009080104632, 0.009851066324922298]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'author')","[0.5385749740615156, 0.005655361840248537]"
"('Month', 'Year', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5385269740804162, 0.0033398450460405374]"
"('Month', 'Weekday', 'content_len', 'title_word_count', 'author')","[0.538456515655879, 0.004032683572596503]"
"('Month', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5383986269383275, 0.004237397852691569]"
"('Month', 'Weekday', 'Day', 'Hour', 'title_bit_count', 'channel')","[0.5383959149733858, 0.0036502056252724078]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_word_count', 'author')","[0.5383707137234918, 0.0058638917963124825]"
"('Month', 'Weekday', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.5383344904413286, 0.004767207820729219]"
"('Month', 'Weekday', 'title_word_count', 'title_bit_count', 'author')","[0.5383299419498838, 0.002176396409600134]"
"('Month', 'Weekday', 'Hour', 'link_count', 'title_bit_count', 'channel')","[0.5383135227746587, 0.009434701284334721]"
"('Year', 'author', 'channel')","[0.5382761159560093, 0.0071102410855810325]"
"('Month', 'link_count', 'title_bit_count', 'author', 'channel')","[0.538264240804761, 0.004668336878882158]"
"('Month', 'Year', 'Hour', 'img_count', 'author')","[0.5382638788207862, 0.008801936153067964]"
"('Month', 'Weekday', 'Year', 'link_count', 'title_bit_count', 'channel')","[0.5382559585103073, 0.008186729698731935]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_word_count', 'channel')","[0.5382451202893055, 0.0019182114515142376]"
"('Month', 'Weekday', 'Year', 'link_count', 'author')","[0.5382139219768164, 0.0038175715341558845]"
"('Month', 'Year', 'content_len', 'link_count', 'author')","[0.5382013309443305, 0.01003229833910544]"
"('Month', 'Year', 'img_count', 'author', 'channel')","[0.5382010078314993, 0.005509552608230104]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'content_len')","[0.5381844382213146, 0.005075632201458682]"
"('Month', 'Weekday', 'Day', 'content_len', 'title_word_count', 'title_bit_count')","[0.5381638145468948, 0.007071046139828376]"
"('Month', 'Weekday', 'Year', 'content_len', 'title_word_count', 'channel')","[0.5381619707829247, 0.00772553245997091]"
"('Month', 'Weekday', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5381029800833763, 0.004091106405389677]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len', 'author')","[0.5380780465960479, 0.004775310210340936]"
"('Month', 'Weekday', 'Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5380698444335534, 0.009009159136948256]"
"('Month', 'Weekday', 'Year', 'Day', 'Hour', 'title_bit_count')","[0.5380531915325261, 0.004819971241622161]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len', 'title_bit_count')","[0.5380411251440266, 0.007196791711247758]"
"('Month', 'Weekday', 'Day', 'Hour', 'link_count', 'title_word_count')","[0.5380399322384519, 0.0029635416983356563]"
"('Month', 'Weekday', 'img_count', 'content_len', 'channel')","[0.5379243240887932, 0.0022555204881173634]"
"('Month', 'Weekday', 'Hour', 'author', 'channel')","[0.5379052123516129, 0.004316442621816576]"
"('Month', 'Year', 'Day', 'content_len', 'title_bit_count', 'author')","[0.5379045392854123, 0.006760081530984664]"
"('Month', 'Hour', 'img_count', 'author')","[0.5378359047478474, 0.006092944557462243]"
"('Month', 'Weekday', 'img_count', 'title_bit_count', 'author')","[0.5378128694669873, 0.005946738327887852]"
