combination,accuracy
"('Month', 'Weekday', 'Year', 'Day', 'img_count', 'link_count')","[0.5286036604832021, 0.004269692906657106]"
"('Month', 'Weekday', 'title_word_count', 'title_bit_count', 'channel')","[0.5285973107374893, 0.007669169608114348]"
"('Month', 'Year', 'img_count', 'content_len', 'link_count', 'channel')","[0.5285795977300177, 0.007189428600992926]"
"('Month', 'Year', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5285443321086237, 0.0038218595411772488]"
"('Year', 'channel')","[0.528536950641813, 0.0033966139358419575]"
"('Weekday', 'Year', 'img_count', 'link_count', 'channel')","[0.528530030487175, 0.008428624571695078]"
"('Month', 'Weekday', 'Year', 'img_count', 'link_count')","[0.528521727379247, 0.002225077648865112]"
"('Month', 'Weekday', 'title_word_count', 'author')","[0.5284798031012741, 0.0029505559664016333]"
"('Month', 'Year', 'Hour', 'channel')","[0.5284741350458403, 0.005017592446077814]"
"('Month', 'Weekday', 'Hour', 'content_len')","[0.5284614119796879, 0.004144389579861235]"
"('Month', 'Year', 'img_count', 'title_word_count', 'author')","[0.5284388619518892, 0.005071160334103595]"
"('Month', 'Hour', 'content_len', 'title_bit_count', 'channel')","[0.5284345347201398, 0.0028391659658586047]"
"('Month', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5284343415872229, 0.003093096657784121]"
"('Month', 'Year', 'img_count', 'link_count', 'title_word_count', 'channel')","[0.5284334336596139, 0.0063686593921412505]"
"('Month', 'Year', 'Day', 'img_count', 'content_len', 'title_word_count')","[0.5284291799816774, 0.006215920635602933]"
"('Month', 'Weekday', 'title_bit_count', 'channel')","[0.5284155099167007, 0.004902491377795025]"
"('Weekday', 'Day', 'link_count', 'author')","[0.5283988395117701, 0.004623009301139308]"
"('Month', 'Year', 'Day', 'title_word_count', 'author')","[0.5283984409358229, 0.002704120624136842]"
"('Month', 'Day', 'img_count')","[0.5283658400059824, 0.0046733604803119765]"
"('Month', 'title_word_count', 'title_bit_count', 'author')","[0.5283632719424631, 0.007138142151648427]"
"('Month', 'Year', 'Day', 'link_count', 'title_word_count', 'title_bit_count')","[0.5283420123965833, 0.009669090943287845]"
"('Month', 'Weekday', 'Hour', 'channel')","[0.5283227958316707, 0.008807371633338227]"
"('Month', 'Year', 'Day', 'img_count', 'channel')","[0.5283217457012777, 0.007893613612207176]"
"('Month', 'Day', 'content_len', 'author', 'channel')","[0.5283053392280805, 0.010174243019105451]"
"('Month', 'Weekday', 'Year', 'Day', 'content_len')","[0.5282936247637045, 0.007442214996367998]"
"('Weekday', 'img_count', 'title_bit_count', 'author')","[0.528281788400933, 0.0026873163424559095]"
"('Weekday', 'Hour', 'img_count', 'title_word_count', 'channel')","[0.5282801411387038, 0.007623616887182119]"
"('Weekday', 'link_count', 'title_word_count', 'author', 'channel')","[0.5282731744082096, 0.00657071325993699]"
"('Month', 'Weekday', 'img_count', 'title_word_count', 'channel')","[0.5282706010475808, 0.004908770146973162]"
"('Weekday', 'Day', 'Hour', 'content_len', 'channel')","[0.5282561220292588, 0.002031582339081801]"
"('Month', 'Hour', 'author')","[0.528248268684807, 0.010603131236751957]"
"('Weekday', 'Day', 'Hour', 'author', 'channel')","[0.5282372987048456, 0.004835549581036809]"
"('Month', 'Year', 'Hour', 'title_word_count', 'title_bit_count', 'author')","[0.5282372907593732, 0.0063802217902297325]"
"('Month', 'Year', 'Day', 'link_count', 'channel')","[0.5282346977315879, 0.007175500640615004]"
"('Weekday', 'Year', 'Day', 'Hour', 'img_count')","[0.5282102040864397, 0.004602569865423107]"
"('Month', 'Year', 'Day', 'img_count', 'link_count', 'channel')","[0.5282094757488498, 0.00645446216974849]"
"('Month', 'Day', 'Hour', 'img_count', 'link_count')","[0.5282016110051537, 0.005206446331013996]"
"('Month', 'img_count', 'title_bit_count', 'author')","[0.5281961994960933, 0.0014115566920015678]"
"('Weekday', 'Day', 'img_count', 'author', 'channel')","[0.5281745858631695, 0.005164339017817452]"
"('Weekday', 'Day', 'author', 'channel')","[0.5281734940291802, 0.004279834584541914]"
"('Month', 'Day', 'title_word_count')","[0.5281663609721379, 0.0041737601781514245]"
"('Month', 'content_len', 'title_word_count', 'author')","[0.5281567316507451, 0.008843199771075382]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5281535850073116, 0.0057567060637917]"
"('Weekday', 'img_count', 'author', 'channel')","[0.5281401222798288, 0.006996306934163336]"
"('Month', 'Weekday', 'Day', 'title_bit_count')","[0.5281350291347803, 0.010604740979358191]"
"('Month', 'Year', 'Day', 'img_count', 'link_count', 'title_word_count')","[0.5281179465480449, 0.003565233487796309]"
"('Weekday', 'content_len', 'title_bit_count', 'author')","[0.5281081035751785, 0.006049550480249442]"
"('Month', 'Year', 'img_count', 'title_word_count', 'author', 'channel')","[0.5280998885727322, 0.006204407804911263]"
"('Month', 'Year', 'Hour', 'img_count', 'title_word_count', 'title_bit_count')","[0.5280119491638917, 0.003984336179522222]"
"('Weekday', 'Hour', 'img_count', 'channel')","[0.5280011109015865, 0.0033034436999778384]"
"('Month', 'Day', 'content_len', 'channel')","[0.527993539275188, 0.005467886017939483]"
"('Weekday', 'Year', 'Hour', 'author')","[0.5279680134852139, 0.009820785310154375]"
"('Weekday', 'Day', 'title_word_count')","[0.5279636825922205, 0.007815846757758775]"
"('Month', 'Day', 'Hour', 'content_len', 'title_bit_count', 'channel')","[0.5279606595643352, 0.008123371777977987]"
"('Month', 'Weekday', 'img_count', 'title_bit_count')","[0.5279452890600561, 0.003009656108204611]"
"('content_len', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5278549245877897, 0.004550644726214895]"
"('Month', 'img_count', 'title_word_count', 'author', 'channel')","[0.5277375868868844, 0.006685881596541001]"
"('Month', 'Year', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5277177301835639, 0.006982988583851034]"
"('Month', 'Weekday', 'img_count', 'content_len')","[0.5277110258985653, 0.0032513789870667197]"
"('Weekday', 'Hour', 'content_len', 'link_count', 'author')","[0.5276780703963314, 0.006893673306614642]"
"('Weekday', 'Day', 'Hour', 'link_count', 'author')","[0.5276661677337778, 0.007949314332748354]"
"('Weekday', 'Year', 'img_count', 'title_word_count', 'author')","[0.5276618395070577, 0.007959812528200827]"
"('img_count', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5276510957522363, 0.006139902496107175]"
"('Weekday', 'Day', 'content_len', 'title_word_count', 'title_bit_count')","[0.5276333517923641, 0.0070578832157143605]"
"('Month', 'Year', 'Hour', 'img_count', 'content_len')","[0.5276087563598659, 0.007181090828508595]"
"('Weekday', 'Day', 'Hour', 'img_count', 'title_bit_count')","[0.5275981980490101, 0.003454926658022924]"
"('Weekday', 'Year', 'Hour', 'img_count', 'channel')","[0.5275683984615831, 0.0008400756464923359]"
"('Month', 'Day', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5275383836081392, 0.011752482841696367]"
"('Month', 'Day', 'Hour', 'content_len', 'channel')","[0.5275049769463493, 0.006119110985705682]"
"('Month', 'Year', 'content_len', 'title_bit_count', 'channel')","[0.5274935249621658, 0.003854368509583033]"
"('Month', 'Year', 'title_word_count', 'title_bit_count', 'channel')","[0.5274744691890907, 0.005592051740472604]"
"('Month', 'Weekday', 'img_count', 'title_bit_count', 'channel')","[0.5274458524910262, 0.0062734212871528305]"
"('Weekday', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5274397913460616, 0.0068400500820274225]"
"('Weekday', 'Hour', 'img_count', 'link_count', 'channel')","[0.5274361083391292, 0.007603313189456831]"
"('Month', 'Weekday', 'Day', 'link_count', 'title_word_count')","[0.5274135147079612, 0.0043645194389496595]"
"('Month', 'Weekday', 'Day', 'Hour')","[0.5274001275352307, 0.00550487273359479]"
"('Weekday', 'img_count', 'title_word_count', 'author')","[0.5273904571582252, 0.004365073012587698]"
"('Month', 'Weekday', 'Year', 'title_word_count', 'channel')","[0.5273881315211163, 0.005631933352586221]"
"('Weekday', 'img_count', 'content_len', 'link_count', 'channel')","[0.5273842005169336, 0.011840835257828756]"
"('Weekday', 'Year', 'Day', 'img_count', 'link_count')","[0.5273475103495379, 0.005756914860618496]"
"('Month', 'Year', 'title_bit_count', 'channel')","[0.5273459622606983, 0.010577459922760811]"
"('Month', 'Year', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.5273424113946928, 0.007976302849074331]"
"('Weekday', 'Hour', 'title_word_count', 'title_bit_count', 'channel')","[0.5273010463864948, 0.005671579657019792]"
"('Month', 'Weekday', 'img_count', 'link_count')","[0.5272481119263945, 0.004391869269117273]"
"('Month', 'Day', 'Hour', 'img_count', 'content_len', 'title_bit_count')","[0.5272250431113066, 0.009584271845851745]"
"('Month', 'Year', 'link_count', 'author')","[0.5272210830747446, 0.008892032558719433]"
"('Weekday', 'Hour', 'img_count', 'link_count', 'author')","[0.5271861076246204, 0.0036886821042468308]"
"('Month', 'Day', 'img_count', 'channel')","[0.5271655070957205, 0.00666568882401987]"
"('Month', 'Day', 'img_count', 'content_len', 'channel')","[0.5271637416927554, 0.006279788331166289]"
"('Weekday', 'Day', 'Hour', 'title_word_count', 'title_bit_count')","[0.5271470067934698, 0.004123836494539693]"
"('Month', 'Weekday', 'img_count', 'channel')","[0.5271297940734866, 0.0032131444520128206]"
"('Hour', 'content_len', 'link_count', 'author', 'channel')","[0.5271268188395399, 0.00469310541780797]"
"('Month', 'Year', 'Hour', 'title_word_count', 'author')","[0.5271267045383127, 0.009361401184129677]"
"('Year', 'img_count', 'content_len', 'title_bit_count', 'author')","[0.5271236817943252, 0.003887675674798802]"
"('Month', 'Day', 'Hour', 'link_count', 'title_bit_count')","[0.5271012440191617, 0.009863825876394929]"
"('Month', 'Weekday', 'img_count', 'link_count', 'title_word_count')","[0.527099941199902, 0.0026465809135014858]"
"('Weekday', 'content_len', 'link_count', 'author')","[0.5270805506753258, 0.00538225911883374]"
"('Weekday', 'Year', 'Day', 'link_count', 'title_bit_count')","[0.5270803831719606, 0.0037553415125163294]"
"('Weekday', 'Year', 'content_len', 'link_count', 'author')","[0.5270482203009799, 0.005846010065969851]"
"('Weekday', 'Day', 'img_count', 'link_count', 'channel')","[0.5270002947013905, 0.004735873765313112]"
"('Month', 'Year', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5269954761343149, 0.005352729320398389]"
"('Month', 'Day', 'title_bit_count', 'author')","[0.526939010211665, 0.0027127229936396388]"
"('Month', 'Year', 'link_count', 'title_bit_count', 'channel')","[0.5269072577085833, 0.003840434888161943]"
"('Weekday', 'Hour', 'author')","[0.5268952677837955, 0.008072410032905934]"
"('Month', 'Year', 'Day', 'img_count', 'content_len', 'link_count')","[0.5268904941282975, 0.005767980197106526]"
"('Month', 'Day', 'link_count', 'title_word_count', 'channel')","[0.5268696812579547, 0.0038324336632007375]"
"('Weekday', 'Day', 'title_word_count', 'title_bit_count', 'channel')","[0.5268456535403996, 0.009765647250525224]"
"('Month', 'Day', 'Hour', 'img_count', 'title_word_count')","[0.5268412181829033, 0.00452969598751016]"
"('Month', 'Weekday', 'content_len', 'title_word_count')","[0.5268060031732957, 0.007542585098881838]"
"('Month', 'Weekday', 'Year', 'img_count', 'link_count', 'title_word_count')","[0.5267835452643878, 0.0015767934508359005]"
"('Weekday', 'title_bit_count', 'author', 'channel')","[0.5267360057003463, 0.0065954078764582985]"
"('Month', 'Year', 'Day', 'title_bit_count', 'channel')","[0.5267325370986822, 0.008845949849158293]"
"('Weekday', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.5267147852547043, 0.008494789118218]"
"('Month', 'Day', 'title_word_count', 'author', 'channel')","[0.5265548798256224, 0.00753500748170919]"
"('Weekday', 'Year', 'img_count', 'title_word_count')","[0.5265383921082103, 0.008411369672897828]"
"('link_count', 'author', 'channel')","[0.5265350250316376, 0.00806129765146741]"
"('Weekday', 'Hour', 'title_word_count', 'author')","[0.5265089928429012, 0.005177150222186766]"
"('Weekday', 'Year', 'img_count', 'title_word_count', 'channel')","[0.5265087035640317, 0.003205653787592079]"
"('Month', 'Year', 'content_len', 'link_count', 'title_word_count', 'channel')","[0.5264980844466731, 0.0075140216101728914]"
"('Month', 'Hour', 'img_count', 'content_len', 'title_word_count')","[0.5264929815639594, 0.004472493014474145]"
"('Weekday', 'img_count', 'content_len', 'link_count', 'author')","[0.5263923875483739, 0.00983334015302052]"
"('Weekday', 'Year', 'Hour', 'link_count', 'title_bit_count')","[0.526391908053267, 0.006910906433890599]"
"('img_count', 'author', 'channel')","[0.5263789703679782, 0.0030584904495356696]"
"('Month', 'Year', 'content_len', 'title_bit_count', 'author', 'channel')","[0.5263546602937001, 0.006785924782164269]"
"('img_count', 'content_len', 'title_bit_count', 'author')","[0.5263544792617079, 0.006607391319982793]"
"('Month', 'Day', 'title_word_count', 'channel')","[0.5263448099636998, 0.005578358342180764]"
"('Month', 'Year', 'Day', 'img_count', 'title_word_count', 'title_bit_count')","[0.5263423199509332, 0.005760054793297191]"
"('Month', 'Day', 'content_len', 'title_bit_count', 'channel')","[0.5263161929551641, 0.00999182382078375]"
"('Weekday', 'Year', 'Day', 'title_word_count')","[0.5263077179133298, 0.0073910780429687385]"
"('Month', 'Day', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5262839274739542, 0.004652139847260996]"
"('Month', 'Year', 'Hour', 'link_count', 'channel')","[0.5262806758275077, 0.008742854903082933]"
"('Month', 'Year', 'img_count', 'title_word_count')","[0.5262577406586683, 0.004431285580601934]"
"('Year', 'Hour', 'content_len', 'author', 'channel')","[0.5262540258943306, 0.009035884344011421]"
"('Weekday', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5262121473032493, 0.011846158121877507]"
"('Month', 'Day', 'title_word_count', 'author')","[0.5261595856609602, 0.006220449957395801]"
"('Month', 'link_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5261588646651034, 0.010166082406150606]"
"('Month', 'Weekday', 'link_count', 'channel')","[0.5261581590014254, 0.0036534310289294404]"
"('Month', 'Day', 'Hour', 'img_count')","[0.526150489557325, 0.007503341048023236]"
"('Month', 'Weekday', 'content_len', 'title_bit_count')","[0.5261330791365885, 0.008075268637250407]"
"('Month', 'Year', 'Day', 'Hour')","[0.5261316674218806, 0.005524525315892945]"
"('Weekday', 'Year', 'Hour', 'title_word_count', 'author')","[0.5261114329582007, 0.0059412432359614905]"
"('Weekday', 'Year', 'content_len', 'author', 'channel')","[0.5261085900109629, 0.005389652086357026]"
"('img_count', 'link_count', 'title_bit_count', 'author', 'channel')","[0.5260903359835805, 0.0111691944372828]"
"('Month', 'Day', 'link_count')","[0.5260830359400717, 0.007651636663013246]"
"('Month', 'Weekday', 'Year', 'content_len', 'title_word_count')","[0.5260664204548721, 0.006764949868937291]"
"('img_count', 'content_len', 'link_count', 'title_bit_count', 'author')","[0.5260583422312461, 0.007630065187745808]"
"('Month', 'Year', 'Hour', 'img_count', 'link_count')","[0.5260551149152946, 0.002494232721062047]"
"('Month', 'title_word_count', 'channel')","[0.5260490783301075, 0.0036464196821372054]"
"('Weekday', 'Day', 'img_count', 'title_bit_count')","[0.5260417115454986, 0.00423231982590972]"
"('Month', 'content_len', 'title_word_count', 'author', 'channel')","[0.5260384464799064, 0.006582601884994505]"
"('Weekday', 'img_count', 'link_count', 'title_bit_count', 'author')","[0.5260314542078178, 0.009573214516861125]"
"('Weekday', 'Day', 'Hour', 'img_count', 'content_len')","[0.5260293815002156, 0.008123475639584035]"
"('Month', 'Weekday', 'link_count')","[0.525959197745034, 0.003990857050128877]"
"('Month', 'Year', 'Day', 'content_len')","[0.525896731472034, 0.008014988429678507]"
"('Month', 'Year', 'Day', 'content_len', 'title_word_count')","[0.525878608417406, 0.0016309486782554808]"
"('Weekday', 'Year', 'Hour', 'link_count', 'channel')","[0.5258767310197427, 0.0036503769046224354]"
"('Month', 'Year', 'Day', 'img_count', 'link_count')","[0.5258686177609125, 0.002885112504459148]"
"('Month', 'Hour', 'img_count', 'link_count', 'title_bit_count')","[0.5258602146695581, 0.006826623685399445]"
"('Month', 'Hour', 'content_len', 'link_count', 'title_bit_count')","[0.5258190017337147, 0.004307007366394942]"
"('Month', 'Year', 'title_bit_count', 'author')","[0.5258150918792953, 0.007372771427536495]"
"('Month', 'Hour', 'img_count', 'link_count', 'channel')","[0.5257660742729279, 0.008335300202271396]"
"('Month', 'Year', 'content_len', 'title_word_count', 'author')","[0.5257500827428434, 0.0047904385256382]"
